Problem:    production
Rows:       513
Columns:    372 (120 integer, 120 binary)
Non-zeros:  1212
Status:     INTEGER OPTIMAL
Objective:  f = 368 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 f                         368                             
     2 stock_initial[1]
                                   6             6             = 
     3 stock_initial[2]
                                   8             8             = 
     4 stock_initial[3]
                                   6             6             = 
     5 stock_initial[4]
                                   6             6             = 
     6 stock_initial[5]
                                   4             4             = 
     7 stock_initial[6]
                                   5             5             = 
     8 stock_initial[7]
                                   8             8             = 
     9 stock_initial[8]
                                   6             6             = 
    10 stock_initial[9]
                                   5             5             = 
    11 stock_initial[10]
                                   5             5             = 
    12 stock_initial[11]
                                   5             5             = 
    13 stock_initial[12]
                                   7             7             = 
   242 decision_production[9,9]
                                 -26                          -0 
   243 decision_production[9,10]
                                 -25                          -0 
   244 decision_production[10,1]
                                   0                          -0 
   245 decision_production[10,2]
                                 -26                          -0 
   246 decision_production[10,3]
                                 -22                          -0 
   247 decision_production[10,4]
                                   0                          -0 
   248 decision_production[10,5]
                                 -23                          -0 
   249 decision_production[10,6]
                                   0                          -0 
   250 decision_production[10,7]
                                 -21                          -0 
   251 decision_production[10,8]
                                   0                          -0 
   252 decision_production[10,9]
                                 -25                          -0 
   253 decision_production[10,10]
                                 -22                          -0 
   254 decision_production[11,1]
                                   0                          -0 
   255 decision_production[11,2]
                                   0                          -0 
   256 decision_production[11,3]
                                   0                          -0 
   257 decision_production[11,4]
                                 -23                          -0 
   258 decision_production[11,5]
                                   0                          -0 
   259 decision_production[11,6]
                                 -21                          -0 
   260 decision_production[11,7]
                                 -21                          -0 
   261 decision_production[11,8]
                                 -19                          -0 
   262 decision_production[11,9]
                                   0                          -0 
   263 decision_production[11,10]
                                 -23                          -0 
   264 decision_production[12,1]
                                   0                          -0 
   265 decision_production[12,2]
                                   0                          -0 
   266 decision_production[12,3]
                                   0                          -0 
   267 decision_production[12,4]
                                 -24                          -0 
   268 decision_production[12,5]
                                 -24                          -0 
   269 decision_production[12,6]
                                 -24                          -0 
   270 decision_production[12,7]
                                 -25                          -0 
   271 decision_production[12,8]
                                 -22                          -0 
   272 decision_production[12,9]
                                 -20                          -0 
   273 decision_production[12,10]
                                 -24                          -0 
   274 production_positive[1,1]
                                   0            -0               
   275 production_positive[1,2]
                                  18            -0               
   276 production_positive[1,3]
                                   0            -0               
   277 production_positive[1,4]
                                   0            -0               
   278 production_positive[1,5]
                                   0            -0               
   279 production_positive[1,6]
                                   8            -0               
   280 production_positive[1,7]
                                   3            -0               
   281 production_positive[1,8]
                                   0            -0               
   282 production_positive[1,9]
                                   0            -0               
   283 production_positive[1,10]
                                   5            -0               
   284 production_positive[2,1]
                                   0            -0               
   285 production_positive[2,2]
                                   0            -0               
   286 production_positive[2,3]
                                   0            -0               
   287 production_positive[2,4]
                                   6            -0               
   288 production_positive[2,5]
                                   6            -0               
   289 production_positive[2,6]
                                   0            -0               
   290 production_positive[2,7]
                                   0            -0               
   291 production_positive[2,8]
                                   4            -0               
   292 production_positive[2,9]
                                   0            -0               
   293 production_positive[2,10]
                                   0            -0               
   294 production_positive[3,1]
                                   0            -0               
   295 production_positive[3,2]
                                   0            -0               
   296 production_positive[3,3]
                                   9            -0               
   297 production_positive[3,4]
                                   0            -0               
   298 production_positive[3,5]
                                   3            -0               
   299 production_positive[3,6]
                                   2            -0               
   300 production_positive[3,7]
                                   4            -0               
   301 production_positive[3,8]
                                   0            -0               
   302 production_positive[3,9]
                                   3            -0               
   303 production_positive[3,10]
                                   7            -0               
   304 production_positive[4,1]
                                   0            -0               
   305 production_positive[4,2]
                                   1            -0               
   306 production_positive[4,3]
                                  10            -0               
   307 production_positive[4,4]
                                   0            -0               
   308 production_positive[4,5]
                                   0            -0               
   309 production_positive[4,6]
                                   3            -0               
   310 production_positive[4,7]
                                   0            -0               
   311 production_positive[4,8]
                                   3            -0               
   312 production_positive[4,9]
                                   5            -0               
   313 production_positive[4,10]
                                   0            -0               
   314 production_positive[5,1]
                                   0            -0               
   315 production_positive[5,2]
                                   1            -0               
   316 production_positive[5,3]
                                   2            -0               
   317 production_positive[5,4]
                                   6            -0               
   318 production_positive[5,5]
                                   1            -0               
   319 production_positive[5,6]
                                   2            -0               
   320 production_positive[5,7]
                                   5            -0               
   321 production_positive[5,8]
                                   5            -0               
   322 production_positive[5,9]
                                   5            -0               
   323 production_positive[5,10]
                                   0            -0               
   324 production_positive[6,1]
                                  14            -0               
   325 production_positive[6,2]
                                   2            -0               
   326 production_positive[6,3]
                                   0            -0               
   327 production_positive[6,4]
                                   0            -0               
   328 production_positive[6,5]
                                   0            -0               
   329 production_positive[6,6]
                                   0            -0               
   330 production_positive[6,7]
                                   0            -0               
   331 production_positive[6,8]
                                   0            -0               
   332 production_positive[6,9]
                                   0            -0               
   333 production_positive[6,10]
                                   0            -0               
   334 production_positive[7,1]
                                   0            -0               
   335 production_positive[7,2]
                                   0            -0               
   336 production_positive[7,3]
                                   0            -0               
   337 production_positive[7,4]
                                   0            -0               
   338 production_positive[7,5]
                                   8            -0               
   339 production_positive[7,6]
                                   0            -0               
   340 production_positive[7,7]
                                   0            -0               
   341 production_positive[7,8]
                                   0            -0               
   342 production_positive[7,9]
                                   0            -0               
   343 production_positive[7,10]
                                   1            -0               
   344 production_positive[8,1]
                                   0            -0               
   345 production_positive[8,2]
                                   0            -0               
   346 production_positive[8,3]
                                   0            -0               
   347 production_positive[8,4]
                                   0            -0               
   348 production_positive[8,5]
                                   0            -0               
   349 production_positive[8,6]
                                   3            -0               
   350 production_positive[8,7]
                                   1            -0               
   351 production_positive[8,8]
                                   1            -0               
   352 production_positive[8,9]
                                   4            -0               
   353 production_positive[8,10]
                                   0            -0               
   354 production_positive[9,1]
                                   1            -0               
   355 production_positive[9,2]
                                   4            -0               
   356 production_positive[9,3]
                                   1            -0               
   357 production_positive[9,4]
                                   8            -0               
   358 production_positive[9,5]
                                   2            -0               
   359 production_positive[9,6]
                                   0            -0               
   360 production_positive[9,7]
                                   0            -0               
   361 production_positive[9,8]
                                   1            -0               
   362 production_positive[9,9]
                                   1            -0               
   363 production_positive[9,10]
                                   2            -0               
   364 production_positive[10,1]
                                   0            -0               
   365 production_positive[10,2]
                                   1            -0               
   366 production_positive[10,3]
                                   5            -0               
   367 production_positive[10,4]
                                   0            -0               
   368 production_positive[10,5]
                                   4            -0               
   369 production_positive[10,6]
                                   0            -0               
   370 production_positive[10,7]
                                   6            -0               
   371 production_positive[10,8]
                                   0            -0               
   372 production_positive[10,9]
                                   2            -0               
   373 production_positive[10,10]
                                   5            -0               
   374 production_positive[11,1]
                                   0            -0               
   375 production_positive[11,2]
                                   0            -0               
   376 production_positive[11,3]
                                   0            -0               
   377 production_positive[11,4]
                                   4            -0               
   378 production_positive[11,5]
                                   0            -0               
